10.020287 drift Dt0000 0.000000 0.020000 
10.020287 drift Dt0000 0.099000 0.020000 
10.119287 drift Dt0000 0.072000 0.020000 
10.191287 drift Dt0000 0.175312 0.020000 
10.366599 rfcavity Cvy000 0.300000 0.017000 80.500000 1.000000 -40.000000
10.666599 drift Dt0000 0.095595 0.020000 
10.762194 mark Mrk000 0.000000 -23.000000 
10.762194 drift Dt0000 0.055880 0.020000 
10.818074 drift Dt0000 0.076136 0.020000 
10.894210 solenoid Sol000 0.250000 0.020000 5.000000 
11.144210 mark Mrk000 0.000000 -21.000000 0.020000 0.00 0.00 0.00 1e-3 
11.144210 solenoid Sol000 0.250000 0.020000 5.000000 
11.394210 drift Dt0000 0.076136 0.020000 
11.470346 drift Dt0000 0.098602 0.020000 
11.568949 rfcavity Cvy000 0.300000 0.017000 80.500000 1.000000 -21.000000
11.868949 drift Dt0000 0.097688 0.020000 
11.966637 rfcavity Cvy000 0.300000 0.017000 80.500000 1.000000 -21.000000
12.266637 drift Dt0000 0.097688 0.020000 
12.364325 rfcavity Cvy000 0.300000 0.017000 80.500000 1.000000 -21.000000
12.664325 drift Dt0000 0.095595 0.020000 
12.759920 mark Mrk000 0.000000 -23.000000 
12.759920 drift Dt0000 0.055880 0.020000 
12.815800 drift Dt0000 0.076136 0.020000 
12.891936 solenoid Sol000 0.250000 0.020000 5.200000 
13.141936 mark Mrk000 0.000000 -21.000000 0.020000 0.00 0.00 0.00 1e-3 
13.141936 solenoid Sol000 0.250000 0.020000 5.200000 
13.391936 drift Dt0000 0.076136 0.020000 
13.468072 drift Dt0000 0.098602 0.020000 
13.566674 rfcavity Cvy000 0.300000 0.017000 80.500000 1.000000 -21.000000
13.866674 drift Dt0000 0.097688 0.020000 
13.964362 rfcavity Cvy000 0.300000 0.017000 80.500000 1.000000 -21.000000
14.264362 drift Dt0000 0.097688 0.020000 
14.362050 rfcavity Cvy000 0.300000 0.017000 80.500000 1.000000 -21.000000
14.662050 drift Dt0000 0.095595 0.020000 
14.757646 mark Mrk000 0.000000 -23.000000 
14.757646 drift Dt0000 0.055880 0.020000 
14.813526 drift Dt0000 0.076136 0.020000 
14.889662 solenoid Sol000 0.250000 0.020000 5.100000 
15.139662 mark Mrk000 0.000000 -21.000000 0.020000 0.00 0.00 0.00 1e-3 
15.139662 solenoid Sol000 0.250000 0.020000 5.100000 
15.389662 drift Dt0000 0.076136 0.020000 
15.465798 drift Dt0000 0.098602 0.020000 
