mark LS1_CA03:DCV_D1214 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
solenoid LS1_CA03:SOL2_D1214 0.100000 0.020000 7.700000 
drift DRIFT 0.076123 0.020000 
drift DRIFT 0.067270 0.020000 
rfcavity LS1_CA03:CAV4_D1218 0.240000 0.017000 80.500000 1.000000 -45.000000
drift DRIFT 0.135064 0.017000 
drift DRIFT 0.072000 0.020000 
drift DRIFT 0.116000 0.020000 
mark LS1_WA03:BPM_D1222 0.000000 -28.000000 
drift DRIFT 0.074000 0.020000 
mark LS1_WA03:PM_D1223 0.000000 -28.000000 
drift DRIFT 0.091000 0.020000 
drift LS1_WA03:PORT_D1224 0.000000 0.020000 
drift DRIFT 0.099000 0.020000 
drift DRIFT 0.072000 0.020000 
drift DRIFT 0.175312 0.020000 
rfcavity LS1_CB01:CAV1_D1229 0.300000 0.017000 80.500000 1.000000 -40.000000
drift DRIFT 0.095595 0.020000 
mark LS1_CB01:BPM_D1231 0.000000 -28.000000 
drift DRIFT 0.055880 0.020000 
drift DRIFT 0.076136 0.020000 
solenoid LS1_CB01:SOL1_D1235 0.250000 0.020000 5.000000 
mark LS1_CB01:DCH_D1235 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
mark LS1_CB01:DCV_D1235 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
solenoid LS1_CB01:SOL1_D1235 0.250000 0.020000 5.000000 
drift DRIFT 0.076136 0.020000 
drift DRIFT 0.098602 0.020000 
rfcavity LS1_CB01:CAV2_D1241 0.300000 0.017000 80.500000 1.000000 -21.000000
drift DRIFT 0.097688 0.017000 
rfcavity LS1_CB01:CAV3_D1245 0.300000 0.017000 80.500000 1.000000 -21.000000
drift DRIFT 0.097688 0.017000 
rfcavity LS1_CB01:CAV4_D1249 0.300000 0.017000 80.500000 1.000000 -21.000000
drift DRIFT 0.095595 0.017000 
mark LS1_CB01:BPM_D1251 0.000000 -28.000000 
drift DRIFT 0.055880 0.020000 
drift DRIFT 0.076136 0.020000 
solenoid LS1_CB01:SOL2_D1255 0.250000 0.020000 5.200000 
mark LS1_CB01:DCH_D1255 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
mark LS1_CB01:DCV_D1255 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
solenoid LS1_CB01:SOL2_D1255 0.250000 0.020000 5.200000 
drift DRIFT 0.076136 0.020000 
drift DRIFT 0.098602 0.020000 
rfcavity LS1_CB01:CAV5_D1261 0.300000 0.017000 80.500000 1.000000 -21.000000
drift DRIFT 0.097688 0.017000 
rfcavity LS1_CB01:CAV6_D1265 0.300000 0.017000 80.500000 1.000000 -21.000000
drift DRIFT 0.097688 0.017000 
rfcavity LS1_CB01:CAV7_D1269 0.300000 0.017000 80.500000 1.000000 -21.000000
drift DRIFT 0.095595 0.017000 
mark LS1_CB01:BPM_D1271 0.000000 -28.000000 
drift DRIFT 0.055880 0.020000 
drift DRIFT 0.076136 0.020000 
solenoid LS1_CB01:SOL3_D1275 0.250000 0.020000 5.100000 
mark LS1_CB01:DCH_D1275 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
mark LS1_CB01:DCV_D1275 0.000000 -21.000000 0.020000 0.000000 0.000000 0.000000 0.000000
solenoid LS1_CB01:SOL3_D1275 0.250000 0.020000 5.100000 
drift DRIFT 0.076136 0.020000 
drift DRIFT 0.098602 0.020000 
rfcavity LS1_CB01:CAV8_D1281 0.300000 0.017000 80.500000 1.000000 -40.000000
drift DRIFT 0.175312 0.017000 
drift DRIFT 0.072000 0.020000 
drift DRIFT 0.116000 0.020000 
mark LS1_WB01:BPM_D1286 0.000000 -28.000000 
drift DRIFT 0.074000 0.020000 
mark LS1_WB01:PM_D1287 0.000000 -28.000000 
drift DRIFT 0.091000 0.020000 
drift LS1_WB01:PORT_D1288 0.000000 0.020000 
drift DRIFT 0.099000 0.020000 
drift DRIFT 0.072000 0.020000 
drift DRIFT 0.175312 0.020000 
rfcavity LS1_CB02:CAV1_D1293 0.300000 0.017000 80.500000 1.000000 -40.000000
drift DRIFT 0.095595 0.020000 
